Season,Champion,Team,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG%,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG%,Abover the Break 3 FGM,Abover the Break 3 FGA,Abover the Break FG%
2024,1,Boston Celtics,1.4,4.5,31.8,2,4.6,43.2,11,30.8,35.7
2024,0,Dallas Mavericks,2.1,5.4,39.8,1.9,4.8,39.6,7.9,22.7,34.6
2023,1,Denver Nuggets,1.4,4,35,1.2,3.1,38.7,8.7,22.6,38.3
2023,0,Miami Heat,1.9,4.5,42.7,1.7,4.3,38.4,9.2,24.7,37.3
2022,1,Golden State Warriors,1.5,3.9,40,1.2,3.7,31.7,11.3,29.5,38.2
2022,0,Boston Celtics,2.3,5.7,40.9,1.5,3.8,38.5,9.8,27,36.5
2021,1,Milwaukee Bucks,1.5,4.3,35,1.9,4.3,43.4,7.8,26.2,29.9
2021,0,Phoenix Suns,1.7,3.4,50,1.6,4.1,39.6,7.9,22,35.7
2020,1,Los Angeles Lakers,2.5,5.7,43.3,2.4,6.8,35.9,7.2,21.5,33.5
2020,0,Miami Heat,1.5,4,37.3,1.6,4.4,36.6,9.6,26.8,35.9
2019,1,Toronto Raptors,1.4,5.1,26.8,1.8,4.4,41.9,8.7,24.8,35
2019,0,Golden State Warriors,1.4,3.4,40,1.4,3.5,40.3,9.4,25,37.4
2018,1,Golden State Warriors,1.4,3.6,40,1,2.9,35,8.8,24.7,35.5
2018,0,Cleveland Cavaliers,1.1,3.5,32.5,1.6,4.1,39.6,7.2,22.2,32.4
2017,1,Golden State Warriors,1.8,3.2,54.5,1.1,3.4,33.3,9.8,25.5,38.2
2017,0,Cleveland Cavaliers,2.9,6.2,46.8,1.5,3.7,40.3,9.8,23.9,41.2
2016,1,Cleveland Cavaliers,1.9,4.4,43.5,2.2,4.6,47.4,8.2,21,38.9
2016,0,Golden State Warriors,1.2,3.3,35.4,1.9,4.2,46,9.7,24.6,39.3
2015,1,Golden State Warriors,1.7,3.3,50.7,1.7,4.5,37.9,8,22.5,35.6
2015,0,Cleveland Cavaliers,1.4,3.8,36,1.5,3.9,38.5,6.9,20.9,33
2014,1,San Antonio Spurs,1.7,3.3,50.7,1.1,2.8,38.5,6.1,15.3,39.7
2014,0,Miami Heat,1.7,3.7,46.6,1.6,4.2,37.3,6.1,15.6,38.8
2013,1,Miami Heat,1.6,3.8,41.4,1.8,4,44.6,4.3,12.3,35.2
2013,0,San Antonio Spurs,1,3,34.4,1.3,3,45.2,5.5,14.7,37.2
2012,1,Miami Heat,0.7,2.7,27.9,1.3,3.7,34.9,4.8,13.2,36.2
2012,0,Oklahoma City Thunder,1,2.4,42.6,0.9,2.3,40.9,4.9,14.5,33.9
2011,1,Dallas Mavericks,0.9,2.7,33.9,1.7,3.2,52.2,6.2,16.1,38.5
2011,0,Miami Heat,0.8,1.9,43.6,1,3,34.9,4,12.8,31.6
2010,1,Los Angeles Lakers,1,3,31.4,0.9,2.4,37.7,4.9,14.9,33
2010,0,Boston Celtics,1.2,2.4,49.1,0.4,1.4,31.3,4.2,12.1,34.7
2009,1,Los Angeles Lakers,1.4,2.7,52.5,1,2.4,41.8,4.5,13.1,34.4
2009,0,Orlando Magic,1.8,4.1,42.4,1.4,3.4,40.7,5.3,15.6,33.7
2008,1,Boston Celtics,1.3,2.6,49.3,0.7,1.4,48.5,4.2,12.8,32.4
2008,0,Los Angeles Lakers,1,2.1,44.4,1.3,2.6,50,4.7,13.9,33.6
2007,1,San Antonio Spurs,2.6,5.3,48.1,1.5,3.1,49.2,3.5,11.1,31.7
2007,0,Cleveland Cavaliers,1.4,3.2,42.9,0.7,2.5,26.5,3.5,10.6,32.7
2006,1,Miami Heat,1,3,31.4,1.2,2.9,40.3,4.2,12.9,32.8
2006,0,Dallas Mavericks,1.2,3.2,38.4,0.6,1.6,35.1,3,10.2,29.4
2005,1,San Antonio Spurs,1.6,3.5,45.7,1.3,3.2,41.9,4,11.3,35.8
2005,0,Detroit Pistons,0.6,2.3,26.8,0.6,2.2,29.1,3.2,9.2,35.1
2004,1,Detroit Pistons,0.7,1.8,40.5,0.7,2.1,35.4,2.7,9.9,27.8
2004,0,Los Angeles Lakers,0.4,2.3,16,0.6,1.7,36.8,4,11.3,35.1
2003,1,San Antonio Spurs,1.2,2.6,46,1.1,3.8,28.6,3,8.5,35.1
2003,0,New Jersey Nets,0.4,1,42.1,0.6,1.3,44,3.7,10.8,34.4
2002,1,Los Angeles Lakers,0.9,2.7,33.3,0.9,2.4,39.1,4.3,12.8,33.3
2002,0,New Jersey Nets,0.7,1.4,50,0.3,1,27.8,3.3,12.3,26.4
2001,1,Los Angeles Lakers,1.1,2,53.1,0.8,1.9,42.3,4.4,12.1,36.1
2001,0,Philadelphia 76ers,0.8,2,40.9,0.6,1.3,48,2.5,8.2,30.9
2000,1,Los Angeles Lakers,0.5,1.3,42.9,0.6,1.6,37.1,4.3,12.3,34.9
2000,0,Indiana Pacers,1.2,2.8,43.5,1.7,3.5,47.8,4.5,13,34.7
1999,1,San Antonio Spurs,1.2,3.5,33.9,0.9,2.4,37.5,2.1,6,34.3
1999,0,New York Knicks,0.2,0.9,23.5,0.6,1.8,31.4,2.5,8.6,28.5
1998,1,Chicago Bulls,0.3,0.9,37.5,0.4,0.9,43.8,3.6,11.4,31.3
1998,0,Utah Jazz,0.2,0.7,22.2,0.6,1.6,34.6,2.7,7.2,37.5
1997,1,Chicago Bulls,0.6,1.3,44,0.4,1.5,24,2.1,7.6,27.1
1997,0,Utah Jazz,0.2,0.7,27.3,0.8,1.9,43.8,1.6,4.3,36